# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    3.34e+01  3.31e+01    1.03e+01  1.03e+01    8.42e-01  8.30e-01    1.0e-03
    100    2.69e+01  2.45e+01    1.64e+00  1.64e+00    8.43e-01  7.69e-01    1.0e-03
    200    2.63e+01  2.51e+01    8.71e-02  9.15e-02    8.32e-01  7.95e-01    1.0e-03
    300    2.41e+01  2.52e+01    3.45e-02  3.31e-02    7.63e-01  7.97e-01    1.0e-03
    400    2.24e+01  2.06e+01    3.38e-01  3.36e-01    7.09e-01  6.52e-01    1.0e-03
    500    2.08e+01  1.88e+01    1.24e-02  1.74e-02    6.57e-01  5.94e-01    1.0e-03
    600    1.65e+01  1.67e+01    3.60e-02  4.67e-02    5.22e-01  5.29e-01    1.0e-03
    700    1.23e+01  1.21e+01    2.02e-01  2.03e-01    3.88e-01  3.82e-01    1.0e-03
    800    1.17e+01  1.13e+01    1.28e-01  1.29e-01    3.71e-01  3.58e-01    1.0e-03
    900    1.22e+01  1.22e+01    9.25e-02  8.65e-02    3.86e-01  3.87e-01    1.0e-03
   1000    1.09e+01  1.09e+01    4.77e-02  4.82e-02    3.43e-01  3.45e-01    1.0e-03
   1100    1.05e+01  1.02e+01    3.14e-02  3.28e-02    3.33e-01  3.21e-01    1.0e-03
   1200    9.12e+00  9.25e+00    4.48e-02  4.07e-02    2.89e-01  2.93e-01    1.0e-03
   1300    8.45e+00  7.89e+00    6.24e-02  6.24e-02    2.67e-01  2.49e-01    1.0e-03
   1400    7.29e+00  7.07e+00    1.11e-02  1.11e-02    2.31e-01  2.24e-01    1.0e-03
   1500    8.34e+00  8.29e+00    1.02e-01  1.00e-01    2.64e-01  2.62e-01    1.0e-03
   1600    7.97e+00  7.50e+00    7.85e-02  8.02e-02    2.52e-01  2.37e-01    1.0e-03
   1700    8.12e+00  7.92e+00    5.76e-02  5.70e-02    2.57e-01  2.50e-01    1.0e-03
   1800    6.74e+00  6.17e+00    1.50e-02  1.36e-02    2.13e-01  1.95e-01    1.0e-03
   1900    6.43e+00  6.08e+00    4.48e-02  4.21e-02    2.03e-01  1.92e-01    1.0e-03
   2000    6.15e+00  6.09e+00    8.33e-02  8.59e-02    1.99e-01  1.97e-01    9.5e-04
   2100    5.99e+00  5.69e+00    6.24e-02  6.26e-02    1.94e-01  1.84e-01    9.5e-04
   2200    5.88e+00  5.90e+00    1.08e-02  1.02e-02    1.91e-01  1.92e-01    9.5e-04
   2300    6.17e+00  5.77e+00    2.46e-02  2.87e-02    2.00e-01  1.87e-01    9.5e-04
   2400    6.03e+00  6.09e+00    5.95e-02  5.96e-02    1.96e-01  1.97e-01    9.5e-04
   2500    6.54e+00  6.55e+00    1.71e-02  1.57e-02    2.12e-01  2.12e-01    9.5e-04
   2600    6.64e+00  5.99e+00    3.86e-02  3.67e-02    2.15e-01  1.94e-01    9.5e-04
   2700    5.57e+00  5.32e+00    4.40e-03  2.81e-03    1.81e-01  1.72e-01    9.5e-04
   2800    5.99e+00  5.77e+00    6.26e-02  5.83e-02    1.94e-01  1.87e-01    9.5e-04
   2900    5.74e+00  5.65e+00    3.52e-02  3.40e-02    1.86e-01  1.83e-01    9.5e-04
   3000    6.35e+00  5.75e+00    7.28e-03  3.28e-03    2.06e-01  1.86e-01    9.5e-04
   3100    5.69e+00  5.62e+00    4.47e-02  4.41e-02    1.85e-01  1.82e-01    9.5e-04
   3200    5.51e+00  5.13e+00    2.36e-02  2.46e-02    1.79e-01  1.66e-01    9.5e-04
   3300    5.27e+00  5.60e+00    3.92e-02  3.85e-02    1.71e-01  1.82e-01    9.5e-04
   3400    5.26e+00  5.07e+00    7.87e-02  7.68e-02    1.71e-01  1.64e-01    9.5e-04
   3500    5.11e+00  4.89e+00    5.61e-02  5.64e-02    1.66e-01  1.59e-01    9.5e-04
   3600    5.58e+00  5.25e+00    2.72e-02  2.44e-02    1.81e-01  1.70e-01    9.5e-04
   3700    5.80e+00  5.07e+00    3.77e-02  3.60e-02    1.88e-01  1.64e-01    9.5e-04
   3800    5.47e+00  5.13e+00    5.53e-02  5.27e-02    1.77e-01  1.66e-01    9.5e-04
   3900    4.85e+00  4.85e+00    4.07e-02  4.06e-02    1.57e-01  1.57e-01    9.5e-04
   4000    5.22e+00  4.75e+00    8.69e-03  8.92e-03    1.74e-01  1.58e-01    9.0e-04
   4100    4.80e+00  4.64e+00    2.67e-02  2.72e-02    1.60e-01  1.54e-01    9.0e-04
   4200    4.60e+00  4.30e+00    2.55e-02  2.33e-02    1.53e-01  1.43e-01    9.0e-04
   4300    4.73e+00  4.58e+00    2.51e-02  2.45e-02    1.58e-01  1.52e-01    9.0e-04
   4400    4.84e+00  4.95e+00    1.88e-02  1.89e-02    1.61e-01  1.65e-01    9.0e-04
   4500    5.28e+00  4.89e+00    4.95e-02  5.23e-02    1.76e-01  1.62e-01    9.0e-04
   4600    4.60e+00  4.47e+00    1.09e-02  1.17e-02    1.53e-01  1.49e-01    9.0e-04
   4700    5.21e+00  4.50e+00    8.02e-03  1.02e-02    1.74e-01  1.50e-01    9.0e-04
   4800    5.03e+00  5.02e+00    2.73e-02  2.52e-02    1.67e-01  1.67e-01    9.0e-04
   4900    4.45e+00  4.22e+00    1.90e-02  2.01e-02    1.48e-01  1.41e-01    9.0e-04
   5000    5.08e+00  5.13e+00    3.28e-02  3.35e-02    1.69e-01  1.71e-01    9.0e-04
   5100    5.70e+00  5.53e+00    1.74e-02  1.64e-02    1.90e-01  1.84e-01    9.0e-04
   5200    4.40e+00  4.80e+00    2.31e-02  2.57e-02    1.46e-01  1.60e-01    9.0e-04
   5300    5.05e+00  5.07e+00    9.93e-03  1.05e-02    1.68e-01  1.69e-01    9.0e-04
   5400    4.37e+00  4.43e+00    6.56e-03  9.03e-03    1.45e-01  1.47e-01    9.0e-04
   5500    4.55e+00  5.01e+00    1.78e-02  1.75e-02    1.51e-01  1.67e-01    9.0e-04
   5600    4.68e+00  4.49e+00    2.85e-02  2.76e-02    1.56e-01  1.49e-01    9.0e-04
   5700    4.35e+00  4.25e+00    1.01e-02  9.95e-03    1.45e-01  1.41e-01    9.0e-04
   5800    4.42e+00  4.18e+00    4.97e-03  4.99e-03    1.47e-01  1.39e-01    9.0e-04
   5900    4.67e+00  4.42e+00    6.78e-03  5.24e-03    1.55e-01  1.47e-01    9.0e-04
   6000    5.64e+00  5.70e+00    2.68e-03  2.50e-03    1.92e-01  1.95e-01    8.6e-04
   6100    4.16e+00  4.39e+00    2.95e-03  3.04e-03    1.42e-01  1.50e-01    8.6e-04
   6200    4.22e+00  3.82e+00    6.13e-03  2.84e-03    1.44e-01  1.31e-01    8.6e-04
   6300    5.00e+00  4.88e+00    1.20e-02  1.29e-02    1.71e-01  1.67e-01    8.6e-04
   6400    4.16e+00  3.73e+00    2.88e-02  2.89e-02    1.42e-01  1.27e-01    8.6e-04
   6500    4.22e+00  4.21e+00    2.25e-02  2.27e-02    1.44e-01  1.44e-01    8.6e-04
   6600    4.76e+00  4.57e+00    1.45e-02  1.47e-02    1.63e-01  1.56e-01    8.6e-04
   6700    4.00e+00  4.10e+00    2.18e-02  2.49e-02    1.36e-01  1.40e-01    8.6e-04
   6800    4.10e+00  3.96e+00    1.34e-02  1.30e-02    1.40e-01  1.35e-01    8.6e-04
   6900    3.96e+00  3.79e+00    4.57e-02  4.58e-02    1.35e-01  1.29e-01    8.6e-04
   7000    5.54e+00  5.13e+00    2.59e-02  2.49e-02    1.89e-01  1.75e-01    8.6e-04
   7100    4.85e+00  5.00e+00    1.97e-03  2.62e-03    1.66e-01  1.71e-01    8.6e-04
   7200    4.17e+00  4.04e+00    7.92e-03  6.50e-03    1.42e-01  1.38e-01    8.6e-04
   7300    4.92e+00  4.71e+00    1.55e-02  1.83e-02    1.68e-01  1.61e-01    8.6e-04
   7400    4.27e+00  4.04e+00    4.51e-02  4.53e-02    1.46e-01  1.38e-01    8.6e-04
   7500    3.85e+00  3.86e+00    1.24e-02  1.11e-02    1.31e-01  1.32e-01    8.6e-04
   7600    3.92e+00  3.96e+00    1.59e-02  1.51e-02    1.34e-01  1.35e-01    8.6e-04
   7700    4.00e+00  3.96e+00    6.55e-02  6.67e-02    1.36e-01  1.35e-01    8.6e-04
   7800    3.96e+00  3.83e+00    4.95e-02  5.07e-02    1.35e-01  1.30e-01    8.6e-04
   7900    4.16e+00  3.99e+00    1.15e-02  1.18e-02    1.42e-01  1.36e-01    8.6e-04
   8000    4.34e+00  4.24e+00    2.78e-02  2.76e-02    1.52e-01  1.48e-01    8.1e-04
   8100    3.65e+00  3.53e+00    2.64e-02  2.68e-02    1.28e-01  1.24e-01    8.1e-04
   8200    4.22e+00  4.21e+00    8.81e-03  9.21e-03    1.48e-01  1.47e-01    8.1e-04
   8300    3.57e+00  3.48e+00    2.44e-03  4.62e-04    1.25e-01  1.22e-01    8.1e-04
   8400    3.65e+00  3.44e+00    3.00e-02  3.09e-02    1.28e-01  1.20e-01    8.1e-04
   8500    3.64e+00  3.59e+00    1.62e-03  1.33e-03    1.27e-01  1.26e-01    8.1e-04
   8600    3.57e+00  3.38e+00    3.57e-02  3.59e-02    1.25e-01  1.18e-01    8.1e-04
   8700    3.55e+00  3.25e+00    5.91e-02  5.96e-02    1.24e-01  1.13e-01    8.1e-04
   8800    3.50e+00  3.40e+00    2.16e-02  2.11e-02    1.22e-01  1.19e-01    8.1e-04
   8900    3.46e+00  3.29e+00    4.01e-02  3.69e-02    1.21e-01  1.15e-01    8.1e-04
   9000    3.59e+00  3.82e+00    3.49e-02  3.42e-02    1.26e-01  1.34e-01    8.1e-04
   9100    4.10e+00  4.14e+00    1.88e-02  1.83e-02    1.44e-01  1.45e-01    8.1e-04
   9200    3.72e+00  3.38e+00    4.72e-02  4.64e-02    1.30e-01  1.18e-01    8.1e-04
   9300    3.49e+00  3.82e+00    5.80e-03  6.02e-03    1.22e-01  1.34e-01    8.1e-04
   9400    3.39e+00  3.16e+00    2.13e-02  1.96e-02    1.19e-01  1.11e-01    8.1e-04
   9500    3.30e+00  3.11e+00    1.23e-02  1.24e-02    1.16e-01  1.09e-01    8.1e-04
   9600    3.56e+00  3.54e+00    1.37e-02  1.30e-02    1.25e-01  1.24e-01    8.1e-04
   9700    4.01e+00  3.85e+00    1.51e-03  2.05e-03    1.40e-01  1.35e-01    8.1e-04
   9800    3.42e+00  3.36e+00    3.09e-02  3.10e-02    1.20e-01  1.17e-01    8.1e-04
   9900    4.11e+00  4.17e+00    1.43e-02  1.28e-02    1.44e-01  1.46e-01    8.1e-04
  10000    3.25e+00  3.69e+00    3.48e-03  1.27e-03    1.17e-01  1.32e-01    7.7e-04
  10100    3.63e+00  3.72e+00    7.60e-03  6.31e-03    1.30e-01  1.34e-01    7.7e-04
