# data_e pred_e
-1.444989333510272263e+05 -1.444981491348764685e+05
-1.444963953211102635e+05 -1.444957462806043914e+05
-1.444974278493753227e+05 -1.444968151712209510e+05
-1.444973616779320873e+05 -1.444964480202302220e+05
-1.444976191235585429e+05 -1.444970759907581378e+05
-1.444987950402107963e+05 -1.444983127267871459e+05
-1.444978428000317945e+05 -1.444973920292708790e+05
-1.444987602957308409e+05 -1.444983036924816261e+05
-1.444991019554936211e+05 -1.444982782078954042e+05
-1.444990147498248261e+05 -1.444983910179278173e+05
-1.444999264598448644e+05 -1.444997939319371362e+05
-1.444979461141595384e+05 -1.444972296292426181e+05
-1.444997777641439461e+05 -1.444989676768648205e+05
-1.444991710083638900e+05 -1.444982890103886893e+05
-1.444999623560983746e+05 -1.444994035134011356e+05
-1.444989802896330657e+05 -1.444979074866779847e+05
-1.444994510164535022e+05 -1.444986934417574666e+05
-1.444975942258987925e+05 -1.444966318842526816e+05
-1.445006203377819620e+05 -1.445001133221681812e+05
-1.445011469889133296e+05 -1.445007103276652633e+05
-1.445003086521830119e+05 -1.444998633779158117e+05
-1.444997771598852123e+05 -1.444990510629671917e+05
-1.444987942214610812e+05 -1.444983332011106540e+05
-1.444984881884964707e+05 -1.444979155409351806e+05
-1.444995836372280901e+05 -1.444991237982297898e+05
-1.444982701221153256e+05 -1.444980398029511562e+05
-1.444987817940030363e+05 -1.444983034667657339e+05
-1.444998221059973293e+05 -1.444993961139957246e+05
-1.444981386199327244e+05 -1.444970844053309702e+05
-1.445000676876835641e+05 -1.444997174442048417e+05
-1.444999791269585839e+05 -1.444995494914080773e+05
-1.444975109424951661e+05 -1.444969640124871803e+05
-1.445018403961724252e+05 -1.445019162534091738e+05
-1.445001700479081192e+05 -1.444998782194128144e+05
-1.444981362919008825e+05 -1.444973613378462906e+05
-1.445001636263018008e+05 -1.444995340061764000e+05
-1.444980838321841729e+05 -1.444974791315035545e+05
-1.444982272613530513e+05 -1.444976019268694799e+05
-1.444994755090092367e+05 -1.444987591324230889e+05
-1.445005090808607929e+05 -1.444999415269943711e+05
-1.444972573803304986e+05 -1.444964972459977143e+05
-1.444987458090975415e+05 -1.444980709339427412e+05
-1.444992311000710470e+05 -1.444988145246653876e+05
-1.445004804595489986e+05 -1.444997464663536812e+05
-1.444991701689716137e+05 -1.444986739979563863e+05
-1.444987212940108147e+05 -1.444983848515424470e+05
-1.445005350889110123e+05 -1.445001496697087423e+05
-1.445003207800818200e+05 -1.444996931094332249e+05
-1.444985378405943047e+05 -1.444980705828034261e+05
-1.445002142631061433e+05 -1.444994887492678827e+05
-1.444994293246893503e+05 -1.444988767321457854e+05
-1.445008597937285376e+05 -1.445003378189541399e+05
-1.444975081798186293e+05 -1.444970779264812882e+05
-1.444995122251852590e+05 -1.444993938521058590e+05
-1.444987871540959750e+05 -1.444981351564763754e+05
-1.444993114419594349e+05 -1.444988118657371961e+05
-1.444994023126179818e+05 -1.444986416186294518e+05
-1.444991335337304336e+05 -1.444987759651378146e+05
-1.445003392402819009e+05 -1.444998328420706675e+05
-1.444982933468246483e+05 -1.444976102049842011e+05
-1.444987703542583331e+05 -1.444981043346854276e+05
-1.444976776051817287e+05 -1.444971055415466544e+05
-1.444990733488569676e+05 -1.444985001333698747e+05
-1.445006359518781246e+05 -1.445002693788597535e+05
-1.444985149201925960e+05 -1.444978995739255042e+05
-1.444996478369398974e+05 -1.444988553505893215e+05
-1.444984127041911415e+05 -1.444974598105495679e+05
-1.444993870269387553e+05 -1.444991373776893015e+05
-1.444966260198049131e+05 -1.444963383541851654e+05
-1.444977067562528828e+05 -1.444972453300568741e+05
-1.444982639486550470e+05 -1.444978889328462828e+05
-1.444979264400432876e+05 -1.444970825028336840e+05
-1.445006954581785831e+05 -1.445002596102665993e+05
-1.444994977341818449e+05 -1.444989907339226920e+05
-1.444977592543893552e+05 -1.444968669850964798e+05
-1.444979828642572684e+05 -1.444974544013630366e+05
-1.444977429967086064e+05 -1.444970907341983402e+05
-1.444988673081523448e+05 -1.444985280801166082e+05
-1.444993306599421776e+05 -1.444988747896543064e+05
-1.445005976527478779e+05 -1.444999400429414236e+05
-1.444991001649682585e+05 -1.444986731736583461e+05
-1.445001631316423882e+05 -1.444995602362977224e+05
-1.444994981326571724e+05 -1.444991350394239416e+05
-1.445001952477747691e+05 -1.444995340366200544e+05
-1.444976791010077868e+05 -1.444972566369655833e+05
-1.444985018457757251e+05 -1.444977377042631560e+05
-1.445003512048198900e+05 -1.444999981753532484e+05
-1.445008353663250455e+05 -1.445001596598911274e+05
-1.444985447597661987e+05 -1.444982108399722492e+05
-1.444982311069392890e+05 -1.444973177330375765e+05
-1.444996886601708829e+05 -1.444987926233530452e+05
-1.445004867140420538e+05 -1.444999733024430461e+05
-1.444981318029749382e+05 -1.444978367935068090e+05
-1.444989300994600635e+05 -1.444986084851931373e+05
-1.444997879243658099e+05 -1.444991307487128652e+05
-1.445003906537617440e+05 -1.444998922382873425e+05
-1.444991856516939297e+05 -1.444985596299179015e+05
-1.445007644981561461e+05 -1.445005295905201347e+05
-1.444996824546121061e+05 -1.444990142240256537e+05
-1.444990005223908811e+05 -1.444981766345101933e+05
-1.444993292384956731e+05 -1.444988086623545969e+05
-1.445001005803771550e+05 -1.444994209010131890e+05
-1.444999349828584818e+05 -1.444995091826294083e+05
-1.444999429999879503e+05 -1.444994226307336648e+05
-1.444994201710165362e+05 -1.444987154810385546e+05
-1.445012437812343123e+05 -1.445009868435263634e+05
-1.444980453704849351e+05 -1.444973022053675959e+05
-1.444977263629039517e+05 -1.444971909717298113e+05
-1.444991891111370351e+05 -1.444986637793314294e+05
-1.444992084804558544e+05 -1.444988041201660817e+05
-1.445000674220161163e+05 -1.444997566165266326e+05
-1.444984751683635986e+05 -1.444977364571139333e+05
-1.444997510650388722e+05 -1.444991295642130135e+05
-1.444984614126498636e+05 -1.444978165318411484e+05
-1.444991554803074396e+05 -1.444986659844425158e+05
-1.445012440002777730e+05 -1.445008579973537126e+05
-1.444990086142183281e+05 -1.444982965816330689e+05
-1.444986862903287983e+05 -1.444980600277628400e+05
-1.444982535338570888e+05 -1.444975103436186619e+05
-1.444999608396705298e+05 -1.444992890010952833e+05
-1.444982810427348304e+05 -1.444974724774568458e+05
-1.445003838424611895e+05 -1.445000348740681366e+05
-1.444996392810957623e+05 -1.444985913739904063e+05
-1.444987493264737132e+05 -1.444982265851332340e+05
-1.444985220619781176e+05 -1.444979495245188009e+05
-1.444974230956880783e+05 -1.444964866377392318e+05
-1.444991878200929204e+05 -1.444984075418940338e+05
